Country,Variable,Category,all_Mean,all_SE,reading_Mean,reading_SE,math_Mean,math_SE,science_Mean,science_SE
Costa Rica,SC26Q01,4,0.42,0.42,a  ,a  ,a  ,a  ,a  ,a  
Costa Rica,SC26Q01,m,1.46,0.66,422,14.32,403,6.64,404,15.16
Croatia,SC26Q01,1,31.51,3.81,487,9.05,475,9.62,493,8.06
Croatia,SC26Q01,2,61.55,3.87,484,4.54,469,4.27,491,4.02
Croatia,SC26Q01,3,6.94,2.04,479,16.00,466,15.75,488,13.91
Croatia,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Croatia,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Hong Kong-China,SC26Q01,1,8.24,2.39,577,16.15,609,17.68,589,14.55
Hong Kong-China,SC26Q01,2,69.35,3.91,545,4.35,560,5.00,555,3.83
Hong Kong-China,SC26Q01,3,21.63,3.44,533,8.13,550,8.77,545,7.38
Hong Kong-China,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Hong Kong-China,SC26Q01,m,0.78,0.77,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,SC26Q01,1,65.09,3.47,407,5.06,384,5.28,392,4.68
Indonesia,SC26Q01,2,34.91,3.47,375,7.33,358,7.32,363,6.93
Indonesia,SC26Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,SC26Q01,1,27.32,3.01,413,7.84,399,7.93,423,7.60
Jordan,SC26Q01,2,61.87,3.32,396,4.99,383,4.05,407,4.10
Jordan,SC26Q01,3,10.03,1.71,381,18.32,366,14.92,391,16.89
Jordan,SC26Q01,4,0.78,0.62,366,18.52,369,9.29,373,4.23
Jordan,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,SC26Q01,1,62.93,4.22,390,4.00,429,4.23,420,4.42
Kazakhstan,SC26Q01,2,35.07,4.19,398,6.86,437,5.86,434,6.19
Kazakhstan,SC26Q01,3,0.78,0.53,431,7.25,424,5.58,434,8.53
Kazakhstan,SC26Q01,4,1.22,0.82,358,4.65,419,19.60,400,7.78
Kazakhstan,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,SC26Q01,1,36.35,3.47,487,5.46,488,5.49,498,5.81
Latvia,SC26Q01,2,61.54,3.53,488,3.37,489,3.55,503,3.30
Latvia,SC26Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,SC26Q01,m,2.11,0.56,560,18.80,574,29.20,556,20.97
Liechtenstein,SC26Q01,1,20.67,0.90,505,7.44,517,7.82,514,8.13
Liechtenstein,SC26Q01,2,79.33,0.90,518,4.91,540,4.52,527,3.94
Liechtenstein,SC26Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Liechtenstein,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Liechtenstein,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Lithuania,SC26Q01,1,50.81,3.28,489,3.79,492,3.87,506,3.79
Lithuania,SC26Q01,2,48.24,3.24,466,4.11,466,4.12,485,4.21
Lithuania,SC26Q01,3,0.67,0.68,a  ,a  ,a  ,a  ,a  ,a  
Lithuania,SC26Q01,4,0.28,0.19,a  ,a  ,a  ,a  ,a  ,a  
Lithuania,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Macao-China,SC26Q01,1,7.83,0.05,528,4.41,549,4.34,537,3.53
Macao-China,SC26Q01,2,84.88,0.05,507,0.96,539,1.06,519,0.94
Macao-China,SC26Q01,3,7.29,0.03,508,3.47,519,3.21,520,3.14
Macao-China,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Macao-China,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Malaysia,SC26Q01,1,46.16,4.12,402,5.56,420,5.69,422,5.16
Malaysia,SC26Q01,2,51.13,3.93,397,4.05,423,4.52,419,3.93
Malaysia,SC26Q01,3,2.72,1.35,366,19.55,382,4.42,381,10.70
Malaysia,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Malaysia,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Montenegro,SC26Q01,1,43.88,0.18,444,1.88,427,1.79,429,1.81
Montenegro,SC26Q01,2,55.76,0.18,405,1.53,396,1.30,395,1.32
Montenegro,SC26Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Montenegro,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Montenegro,SC26Q01,m,0.36,0.02,a  ,a  ,a  ,a  ,a  ,a  
Perm (Russian Federation),SC26Q01,1,31.40,5.93,503,11.93,504,13.34,496,11.98
Perm (Russian Federation),SC26Q01,2,64.78,6.46,473,8.29,474,6.63,471,7.14
Perm (Russian Federation),SC26Q01,3,3.82,2.75,464,14.59,477,26.78,496,17.50
Perm (Russian Federation),SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Perm (Russian Federation),SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
