Country,Variable,Category,all_Mean,all_SE,reading_Mean,reading_SE,math_Mean,math_SE,science_Mean,science_SE
Costa Rica,SC01Q01,2,15.09,1.35,501,8.54,468,7.25,489,7.22
Costa Rica,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Croatia,SC01Q01,1,98.24,1.11,484,3.37,471,3.62,491,3.17
Croatia,SC01Q01,2,1.76,1.11,518,31.98,481,16.76,491,18.21
Croatia,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Hong Kong-China,SC01Q01,1,6.74,0.20,571,9.08,597,9.54,582,7.70
Hong Kong-China,SC01Q01,2,93.26,0.20,543,2.91,559,3.38,553,2.75
Hong Kong-China,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,SC01Q01,1,58.15,2.57,399,5.52,377,4.96,385,4.85
Indonesia,SC01Q01,2,41.85,2.57,392,6.24,372,7.07,377,6.04
Indonesia,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,SC01Q01,1,83.34,1.54,390,3.98,376,3.08,400,3.28
Jordan,SC01Q01,2,16.66,1.54,446,9.86,435,10.62,454,9.64
Jordan,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,SC01Q01,1,97.24,1.05,392,2.77,432,3.05,425,3.02
Kazakhstan,SC01Q01,2,2.76,1.05,405,9.18,434,12.37,431,13.37
Kazakhstan,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,SC01Q01,1,93.15,2.00,488,2.55,490,2.95,501,2.85
Latvia,SC01Q01,2,2.29,1.43,a  ,a  ,a  ,a  ,a  ,a  
Latvia,SC01Q01,m,4.57,1.61,503,16.25,500,12.53,513,12.51
Liechtenstein,SC01Q01,1,93.63,0.43,519,4.31,541,3.91,528,3.61
Liechtenstein,SC01Q01,2,6.37,0.43,a  ,a  ,a  ,a  ,a  ,a  
Liechtenstein,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Lithuania,SC01Q01,1,98.57,0.73,476,2.54,478,2.66,495,2.63
Lithuania,SC01Q01,2,1.43,0.73,535,17.24,552,18.09,554,17.37
Lithuania,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Macao-China,SC01Q01,1,4.19,0.02,460,4.70,480,5.07,483,4.21
Macao-China,SC01Q01,2,95.81,0.02,511,0.90,541,0.97,522,0.85
Macao-China,SC01Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Malaysia,SC01Q01,1,95.93,1.01,397,3.21,418,3.17,418,2.95
Malaysia,SC01Q01,2,4.07,1.01,417,34.40,486,29.43,447,31.96
