OECD PISA 2012 Data File - Interactive Selection
,
Variable: ,PA02Q02,Parent Age - Mother
Full question:,How old are the child’s parents? - Mother                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Category: ,1,Younger than 36 years
,2,36 – 40 years
,3,41 – 45 years
,4,46 – 50 years
,5,51 years or older

,
 , , , , ,Reading,Reading,Mathematics,Mathematics,Science,Science
Country,Variable,Category,%,%SE,Mean,SE,Mean,SE,Mean,SE
New Zealand,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Portugal,PA02Q02,1,6.64,0.53,452,7.01,445,6.45,456,6.21
Portugal,PA02Q02,2,22.63,0.91,484,5.00,477,4.92,483,5.08
Portugal,PA02Q02,3,33.06,0.82,503,4.05,504,4.58,503,4.37
Portugal,PA02Q02,4,24.87,0.86,512,3.68,514,3.87,512,3.82
Portugal,PA02Q02,5,9.89,0.59,502,6.65,505,7.06,503,6.94
Portugal,PA02Q02,m,2.91,0.30,449,10.97,444,10.34,450,10.90
Slovak Republic,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovak Republic,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovak Republic,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovak Republic,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovak Republic,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovak Republic,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United States of America,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
OECD Total,PA02Q02,1,9.36,0.18,419,1.85,408,1.77,414,1.60
OECD Total,PA02Q02,2,21.25,0.21,452,1.40,444,1.46,449,1.40
OECD Total,PA02Q02,3,33.09,0.28,496,1.54,498,1.88,496,1.61
OECD Total,PA02Q02,4,21.62,0.22,501,1.43,501,1.67,504,1.53
OECD Total,PA02Q02,5,8.67,0.11,483,2.13,478,2.31,485,2.30
OECD Total,PA02Q02,m,6.02,0.13,450,2.75,449,2.68,453,2.44
OECD Average,PA02Q02,1,7.06,0.13,447,2.46,439,2.44,447,2.55
OECD Average,PA02Q02,2,20.76,0.22,477,1.47,473,1.58,478,1.41
OECD Average,PA02Q02,3,34.86,0.25,500,1.23,499,1.34,502,1.26
OECD Average,PA02Q02,4,23.58,0.23,506,1.43,505,1.56,509,1.44
OECD Average,PA02Q02,5,9.20,0.15,497,1.91,495,2.10,502,1.94
