Country,Variable,Category,all_Mean,all_SE,reading_Mean,reading_SE,math_Mean,math_SE,science_Mean,science_SE
Luxembourg,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Mexico,PA02Q01,1,8.04,0.23,407,2.74,397,2.24,401,2.41
Mexico,PA02Q01,2,22.49,0.34,423,1.75,413,1.59,415,1.49
Mexico,PA02Q01,3,24.25,0.33,430,2.13,419,1.88,420,1.78
Mexico,PA02Q01,4,15.97,0.33,435,2.34,425,2.30,425,2.01
Mexico,PA02Q01,5,14.34,0.33,426,2.44,416,2.20,416,2.16
Mexico,PA02Q01,m,14.90,0.32,409,2.27,397,2.01,403,2.12
Netherlands,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Netherlands,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Netherlands,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Netherlands,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Netherlands,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Netherlands,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Poland,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Portugal,PA02Q01,1,2.31,0.26,476,9.67,450,10.09,462,9.20
Portugal,PA02Q01,2,12.87,0.71,472,7.14,468,6.33,473,6.57
Portugal,PA02Q01,3,30.73,0.79,495,4.41,494,4.98,496,4.66
Portugal,PA02Q01,4,28.81,0.87,512,4.07,514,4.23,513,4.24
Portugal,PA02Q01,5,19.29,0.69,499,5.33,501,5.09,500,5.38
Portugal,PA02Q01,m,6.00,0.44,471,7.59,459,7.86,465,7.55
Slovak Republic,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovak Republic,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovak Republic,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovak Republic,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovak Republic,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovak Republic,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Turkey,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
