Date,Value,Returns,Mean180,Mean90,Mean30,Mean10,Var180,Var90,Var30,Var10
2009-05-22,58.75,0.00737311385459533,-0.00246549677603768,0.00431911452943307,0.00405626678411294,0.0042684050637551,0.00109591178304345,0.000582153809070193,0.000304405317221486,0.000198170113545389
2009-05-25,58.55,-0.00340425531914898,-0.0023420578128215,0.00391997461023905,0.00415965600277685,0.00435388902607268,0.00109290539296096,0.000573728147610494,0.000302466650653786,0.000196623267536451
2009-05-26,58.71,0.00273270708795907,-0.00223098368679105,0.00445024593402796,0.00479645758983825,0.00346872095390263,0.00109179348532194,0.000546579266947656,0.000287582129170658,0.000190235811209464
2009-05-27,60.75,0.0347470618293306,-0.0019518474058127,0.00512284945596556,0.00588942309314998,0.0062387055018815,0.00109837086606463,0.000546162131971155,0.000317000928970555,0.000288991459505291
2009-05-28,61.77,0.0167901234567902,-0.00185390481744517,0.00523587905089141,0.00620155299822715,0.00996460378178025,0.00110031666245786,0.000547653610736897,0.000320916127314632,0.00020668203962051
2009-05-29,63.71,0.0314068317953699,-0.00144893775894075,0.00537975886477169,0.00731310953172299,0.0124265943376344,0.00109755663868829,0.000553364177623327,0.000339259460668998,0.000249910654357835
2009-06-01,66.08,0.0371998116465233,-0.000938500253713818,0.00558620496791688,0.00975815670322517,0.0170513120642878,0.00108981023872592,0.000562728053072357,0.000298731392198976,0.000243099676475464
2009-06-02,66.6,0.00786924939467306,-0.000957891561025588,0.00526472618617546,0.0107598614000604,0.0148665220019649,0.00108939830250438,0.000551733264829593,0.00026263825157631,0.000229338981768495
2009-06-03,66.14,-0.00690690690690681,-0.00113188886300761,0.00572603846225031,0.0105158826306125,0.0125242318676025,0.00108596969385927,0.000520794027533649,0.000269647221864376,0.000275616561368646
2009-06-04,66.74,0.00907166616268513,-0.00123377435058743,0.00573625504280189,0.0107564285837162,0.0136879403001871,0.00108198949516979,0.000520853552223735,0.000267072876475697,0.000250136616783666
2009-06-05,67.81,0.016032364399161,-0.00151495503332395,0.00581093194419582,0.0103511973833042,0.0145538653546436,0.0010578351687856,0.000521895417385843,0.000257383362985709,0.000245483397819061
2009-06-08,66.75,-0.0156319126972423,-0.0016613531870699,0.00541334933676699,0.0103371044759056,0.0133310996168343,0.00105809071364119,0.000524591431661058,0.000258134602520926,0.000309231790926574
2009-06-09,68.42,0.0250187265917603,-0.00151562625482612,0.00554325755279792,0.0115165202691594,0.0155597015672144,0.00106204491647168,0.000528189479985491,0.000249351641114075,0.000306410461323965
2009-06-10,69.92,0.0219234142063724,-0.0013264077185124,0.0060504072258075,0.0113711884908228,0.0142773368049186,0.00106444800737228,0.000521322288068624,0.000245545090177519,0.000268176844756161
2009-06-11,70.6,0.0097254004576658,-0.00128489022848232,0.00614243002457402,0.0114419337988622,0.0135708645050062,0.00106505708776569,0.000521226989733676,0.000245143694915819,0.000269222955494626
2009-06-12,70.18,-0.00594900849858339,-0.00110173326173685,0.00593754112933394,0.0112105384665954,0.00983528047561084,0.00105723317821313,0.000522374411016046,0.000251752496242432,0.000260707159104249
2009-06-15,68.98,-0.0170988885722428,-0.00097412697613337,0.0054470394413624,0.0095164599286553,0.00440541045373423,0.00105016394062546,0.000523087283693327,0.000258941965892537,0.000225351271498668
2009-06-16,69.41,0.00623369092490566,-0.000919197160887732,0.00535973585062786,0.00934044613354037,0.00424185460675749,0.00105041103305934,0.000522246997741493,0.000259143916296135,0.000224359818623302
2009-06-17,69.1,-0.00446621524276044,-0.00089956008452715,0.00542400645322032,0.00831887261463447,0.00448592377317213,0.00105020076248663,0.000520589648511879,0.000254858109264379,0.000218908696360588
2009-06-18,70.01,0.0131693198263388,-0.000645298656593337,0.0058669694877311,0.00754998650469836,0.0048956891395375,0.00104562826054316,0.000509472217789021,0.000228183304787398,0.000224763502715971
2009-06-19,70,-0.000142836737608986,-0.000337307262729146,0.00599149575723703,0.00736681314808641,0.00327816902586049,0.00102867415449501,0.000506531669477077,0.00023002273272652,0.00021089655760429
2009-06-22,67.13,-0.0410000000000001,-0.00046154844849559,0.00540306396261055,0.00614211631283057,0.000741360295584721,0.00103602506232053,0.000530592664325116,0.000304477574279163,0.000381853343845203
2009-06-23,66.34,-0.0117682109340085,-0.000341603393464636,0.00549027397216492,0.0053636963547083,-0.00293733345699216,0.00103067899168305,0.0005268641135832,0.000313890794075976,0.000318716786158214
2009-06-24,67.74,0.0211034066927946,-0.000286832625594407,0.0061747723407541,0.00583223603281672,-0.00301933420834995,0.00103249523073947,0.000505362575849341,0.000322108668526148,0.000314253805195531
2009-06-25,68.27,0.00782403306761147,0.000152140927803252,0.00673630123971863,0.00677533244647701,-0.00320947094735538,0.00100458277432066,0.000478219563849353,0.000297472003427475,0.000309230342126536
2009-06-26,69.02,0.0109857917093892,0.000267451959676509,0.00660173100470193,0.00691529462889572,-0.00151599092655812,0.00100467507523771,0.000475396554737158,0.000298063043096904,0.00032759941658109
2009-06-29,69.16,0.00202839756592293,0.000160599656610285,0.00656440899829399,0.00728448673509351,0.000396737687258455,0.001002218553653,0.000475613581276192,0.000289959117453584,0.000297949492497603
2009-06-30,69.56,0.00578368999421639,0.000586586818709055,0.00654928688972699,0.00648670473430399,0.000351737594189528,0.000974007377213886,0.000475616415287038,0.000272025818325103,0.000297386046050403
